0,1,2,3
3785,544,Piz Languard,Bergname
3787,547,Piz Gügliet,Bergname
3784,548,Fuorcla Clüx,Bergname
3787,549,Fuorcla Güglia,Bergname
3787,551,Corn Chamuotsch,Bergname
3787,553,Fuorcla Chamuotsch,Bergname
3787,556,Piz Nair,Bergname
3787,559,Piz Nair Pitschen,Bergname
3787,561,Pass Suvretta,Bergname
3787,563,Fuorcla Suvretta,Bergname
3782,567,Sass da Muottas,Bergname
3785,570,Piz da las Sterlas,Bergname
3782,571,Piz Schlattain,Bergname
3782,573,Fuorcla Grischa,Bergname
3782,574,Sass Corviglia,Bergname
3782,578,Fuorcla Persa,Bergname
3785,579,Fuorcla Olivet,Bergname
3782,580,Piz Corviglia,Bergname
3785,582,Fuorcla Burdun,Bergname
3782,584,Piz Glüna,Bergname
3785,585,Pass Trid,Bergname
3782,586,Fuorcla Saluver,Bergname
3785,587,Munt Olivet,Bergname
3782,591,Piz dal Büz,Bergname
3785,596,Piz Malat,Bergname
3785,601,Fuorcla Müsella,Bergname
3788,607,Piz Vaüglia,Bergname
3788,611,Piz Chaschanella,Bergname
3847,614,Piz Stabels,Bergname
3847,615,Fuorcla Schumbraida,Bergname
3847,616,Piz Umbrail,Bergname
3847,619,Passo di Val Paolaccia,Bergname
3847,620,Klein Tartscherkopf,Bergname
3847,621,Cima Piccola di Tàrres,Bergname
3847,622,Passo dei Pastori,Bergname
3847,623,Piz dal Lai,Bergname
3847,624,Monte Forcola,Bergname
3847,625,Piz Magliavachas,Bergname
3847,626,Piz Chazforà,Bergname
3847,631,Gross Tartscherkopf,Bergname
3847,632,Monte di Tàrres,Bergname
3788,634,Punta Casana,Bergname
3785,638,Fuorcla Taverna,Bergname
3785,639,Piz Valletta,Bergname
3847,640,Cuclèr da Valpaschun,Bergname
3847,641,Piz Praveder,Bergname
3847,642,Fuorcla Costainas,Bergname
3847,643,Piz Rims,Bergname
3847,644,Piz Val Gronda,Bergname
3847,645,Furkelspitz,Bergname
